                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2149,                 1.1418,                  1.177,                0.24904,                0.38754,                0.11025,                0.08674,                 1.7863,                  82.25,                 2.7428,               0.035854,               0.006854,               0.006854
                     37,                 1.3307,                   1.61,                 1.3242,                0.24904,                0.38754,                0.11025,                0.08674,                 1.7863,                  82.25,                 2.7428,                0.03404,              0.0070398,              0.0070398
                     38,                 1.3755,                 1.7079,                 1.3918,                0.38882,                    0.5,                0.37853,                0.26916,                 1.4851,                 36.082,                 1.6697,               0.032225,              0.0072253,              0.0072253
                     39,                 1.3046,                  1.512,                 1.2064,                0.27615,                0.44444,                0.39241,                0.30476,                 1.4931,                 3.9765,                 1.6039,                0.03041,              0.0074103,              0.0074103
                     40,                 1.2541,                 1.2043,                 1.1782,                0.27615,                0.44444,                0.39241,                0.30476,                 1.4931,                 3.9765,                 1.6039,               0.028595,               0.007595,               0.007595
                     41,                 1.2587,                 1.0556,                 1.1425,                0.88438,                0.16667,                0.41166,                 0.2458,                 1.7812,                 4.7196,                 1.7406,               0.026779,              0.0077792,              0.0077792
                     42,                 1.2391,                  1.268,                  1.304,                0.17758,                0.66667,                 0.4521,                0.30346,                 1.5908,                 4.4007,                 1.7096,               0.024963,              0.0079631,              0.0079631
                     43,                 1.2966,                 1.2618,                 1.2446,                0.17758,                0.66667,                 0.4521,                0.30346,                 1.5908,                 4.4007,                 1.7096,               0.023147,              0.0081466,              0.0081466
                     44,                 1.2191,                 1.3095,                 1.2199,                0.36061,                0.49678,                0.48178,                0.30154,                 1.5562,                 5.1835,                 1.7178,                0.02133,              0.0083296,              0.0083296
                     45,                 1.3973,                 1.1159,                 1.1952,                0.36061,                0.49678,                0.48178,                0.30154,                 1.5562,                 5.1835,                 1.7178,               0.019512,              0.0085123,              0.0085123
                     46,                 1.2592,                 1.0792,                  1.105,                0.67148,                0.55556,                0.55482,                0.35496,                 1.6075,                 3.9564,                 1.8627,               0.017695,              0.0086946,              0.0086946
                     47,                 1.3638,                 1.1962,                 1.2424,                0.67148,                0.55556,                0.55482,                0.35496,                 1.6075,                 3.9564,                 1.8627,               0.015876,              0.0088765,              0.0088765
                     48,                 1.2297,                 1.2866,                 1.1364,                0.83925,                0.55556,                 0.7833,                0.49786,                 1.4929,                 3.4357,                 1.6797,               0.014058,               0.009058,               0.009058
                     49,                 1.2519,                 1.0659,                 1.2102,                0.83925,                0.55556,                 0.7833,                0.49786,                 1.4929,                 3.4357,                 1.6797,               0.012239,              0.0092391,              0.0092391
                     50,                 1.1776,                0.85841,                 1.1474,                      1,                0.55556,                0.67528,                0.45569,                 1.2817,                  7.243,                  1.467,                0.01042,              0.0094198,              0.0094198
                     51,                 1.2422,                 1.0683,                 1.1732,                      1,                0.55556,                0.67528,                0.45569,                 1.2817,                  7.243,                  1.467,               0.009505,               0.009505,               0.009505
                     52,                 1.1804,                0.98966,                 1.2102,                0.90476,                0.55556,                0.58883,                0.36192,                 1.2769,                 11.086,                 1.6228,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.0841,                0.94884,                 1.0871,                0.90476,                0.55556,                0.58883,                0.36192,                 1.2769,                 11.086,                 1.6228,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.1438,                  1.157,                 1.0976,                0.41716,                0.72222,                0.68472,                0.51037,                 1.1212,                 16.449,                  1.388,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.2279,                 1.2484,                 1.1608,                0.41716,                0.72222,                0.68472,                0.51037,                 1.1212,                 16.449,                  1.388,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.2826,                  1.295,                 1.1718,                0.47646,                0.83333,                0.68364,                 0.5007,                 1.2289,                 10.574,                 1.4521,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.1621,                 1.0103,                 1.1305,                0.47646,                0.83333,                0.68364,                 0.5007,                 1.2289,                 10.574,                 1.4521,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.1556,                 1.1735,                 1.3037,                0.94444,                    0.5,                0.80365,                0.49799,                 1.3772,                 8.1411,                 1.5866,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.3449,                  1.208,                 1.4089,                0.94444,                    0.5,                0.80365,                0.49799,                 1.3772,                 8.1411,                 1.5866,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.2871,                 1.0353,                 1.1673,                      1,                0.33333,                 0.8054,                0.56459,                 1.2465,                 4.9228,                  1.412,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.2373,                 1.1741,                 1.1992,                      1,                0.33333,                 0.8054,                0.56459,                 1.2465,                 4.9228,                  1.412,               0.009406,               0.009406,               0.009406
                     62,                 1.1527,                 1.1271,                 1.2027,                0.67186,                    0.5,                0.63811,                0.44894,                 1.0432,                 3.6367,                 1.2179,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.1565,                0.94815,                 1.1499,                0.67186,                    0.5,                0.63811,                0.44894,                 1.0432,                 3.6367,                 1.2179,              0.0093862,              0.0093862,              0.0093862
                     64,                  1.125,                0.90265,                 1.2728,                 0.2908,                    0.5,                0.35952,                0.21188,                 1.4471,                 2.6108,                 1.4846,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.0512,                0.93014,                 1.1187,                 0.2908,                    0.5,                0.35952,                0.21188,                 1.4471,                 2.6108,                 1.4846,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.1821,                0.91392,                 1.2702,                0.00533,                0.27778,                0.00583,                0.00286,                 2.8292,                 4.8404,                 2.7589,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.1763,                 1.0028,                 1.2186,                0.00533,                0.27778,                0.00583,                0.00286,                 2.8292,                 4.8404,                 2.7589,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.2699,                 1.0496,                 1.2003,                  0.479,                0.65445,                0.47245,                0.26302,                 1.4345,                 2.1077,                 1.4236,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.1797,                0.96739,                   1.13,                  0.479,                0.65445,                0.47245,                0.26302,                 1.4345,                 2.1077,                 1.4236,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.2542,                 1.0724,                 1.2334,                0.61453,                0.73604,                0.72924,                0.46403,                 1.1586,                 2.9032,                  1.205,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.1949,                0.99317,                  1.189,                0.61453,                0.73604,                0.72924,                0.46403,                 1.1586,                 2.9032,                  1.205,               0.009307,               0.009307,               0.009307
                     72,                 1.0978,                0.91971,                 1.1339,                   0.92,                0.71233,                 0.8685,                0.62901,                 1.0774,                 1.0871,                 1.1407,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.1302,                 0.8164,                 1.1094,                   0.92,                0.71233,                 0.8685,                0.62901,                 1.0774,                 1.0871,                 1.1407,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.0798,                0.91211,                 1.2217,                0.55521,                0.57566,                0.73507,                0.51946,                 1.2409,                 1.6527,                 1.1969,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.0438,                0.82687,                 1.1265,                0.55521,                0.57566,                0.73507,                0.51946,                 1.2409,                 1.6527,                 1.1969,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.0975,                0.89278,                 1.1149,                0.44984,                0.47402,                0.51247,                0.35644,                 1.2814,                 1.9315,                  1.297,              0.0092575,              0.0092575,              0.0092575
                     77,                  1.191,                 1.0133,                 1.1961,                0.44984,                0.47402,                0.51247,                0.35644,                 1.2814,                 1.9315,                  1.297,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.1407,                0.89081,                 1.1072,                0.72683,                0.26817,                0.27787,                0.20942,                 1.4605,                 3.4631,                 1.5211,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.0902,                0.88884,                 1.1596,                0.72683,                0.26817,                0.27787,                0.20942,                 1.4605,                 3.4631,                 1.5211,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.0839,                0.93141,                 1.2125,                0.90712,                0.50801,                0.74261,                0.55694,                 1.1931,                 1.9192,                 1.2976,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.0525,                0.93482,                 1.1992,                0.90712,                0.50801,                0.74261,                0.55694,                 1.1931,                 1.9192,                 1.2976,               0.009208,               0.009208,               0.009208
                     82,                 1.0894,                 0.8494,                 1.1049,                0.85112,                0.72913,                0.83713,                0.59096,                 1.2887,                 1.2295,                 1.3617,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.1154,                 0.8439,                 1.2281,                0.85112,                0.72913,                0.83713,                0.59096,                 1.2887,                 1.2295,                 1.3617,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.1176,                0.78053,                 1.1474,                0.84454,                0.72671,                0.82937,                0.62917,                  1.235,                 1.3215,                 1.2666,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.1761,                0.98997,                 1.1457,                0.84454,                0.72671,                0.82937,                0.62917,                  1.235,                 1.3215,                 1.2666,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.2292,                0.90048,                 1.1852,                0.79834,                0.80449,                0.84184,                0.61529,                 1.2942,                 1.2844,                 1.3073,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.2267,                 1.0674,                 1.2037,                0.79834,                0.80449,                0.84184,                0.61529,                 1.2942,                 1.2844,                 1.3073,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.1777,                0.94059,                  1.299,                0.75312,                0.83333,                0.84879,                0.60062,                 1.3498,                 1.3238,                 1.3448,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.1073,                0.96238,                 1.1974,                0.75312,                0.83333,                0.84879,                0.60062,                 1.3498,                 1.3238,                 1.3448,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.1458,                0.90566,                 1.1656,                0.84357,                0.76051,                0.83588,                0.59412,                 1.2814,                 1.0817,                 1.2696,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.0636,                0.84971,                 1.1062,                0.84357,                0.76051,                0.83588,                0.59412,                 1.2814,                 1.0817,                 1.2696,               0.009109,               0.009109,               0.009109
                     92,                 1.0322,                0.85066,                 1.0709,                0.81852,                0.75341,                0.83722,                0.64538,                 1.1399,                0.97478,                 1.1913,              0.0090991,              0.0090991,              0.0090991
                     93,                0.98053,                0.76551,                 1.1539,                0.81852,                0.75341,                0.83722,                0.64538,                 1.1399,                0.97478,                 1.1913,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.0229,                0.85047,                 1.0831,                0.74031,                0.78546,                0.84578,                0.56903,                 1.3503,                 1.1474,                  1.385,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.1537,                0.91495,                 1.1162,                0.74031,                0.78546,                0.84578,                0.56903,                 1.3503,                 1.1474,                  1.385,              0.0090694,              0.0090694,              0.0090694
                     96,                  1.141,                0.78875,                 1.2145,                 0.8006,                0.81135,                0.84773,                0.57878,                 1.3243,                 1.1646,                 1.3679,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.0713,                0.84287,                 1.1364,                 0.8006,                0.81135,                0.84773,                0.57878,                 1.3243,                 1.1646,                 1.3679,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.1593,                0.93383,                 1.1407,                0.84249,                0.72251,                0.85109,                0.65121,                 1.2298,                 1.3143,                 1.2528,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.0805,                 0.8092,                 1.1947,                0.84249,                0.72251,                0.85109,                0.65121,                 1.2298,                 1.3143,                 1.2528,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.0588,                0.81132,                 1.0659,                0.86362,                0.83333,                0.84654,                0.59757,                 1.2978,                0.97654,                 1.2897,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.1108,                0.87745,                 1.1069,                0.86362,                0.83333,                0.84654,                0.59757,                 1.2978,                0.97654,                 1.2897,                0.00901,                0.00901,                0.00901
                    102,                0.99037,                0.73634,                 1.0747,                 0.9053,                0.80727,                0.86592,                0.61749,                  1.273,                0.93475,                  1.302,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.0804,                0.81053,                 1.1222,                 0.9053,                0.80727,                0.86592,                0.61749,                  1.273,                0.93475,                  1.302,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.1209,                0.76455,                 1.0951,                 0.8275,                0.72273,                0.83489,                0.63192,                 1.1819,                 1.2122,                 1.2231,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.0683,                0.77801,                  1.112,                 0.8275,                0.72273,                0.83489,                0.63192,                 1.1819,                 1.2122,                 1.2231,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.1997,                0.92005,                 1.3628,                0.78453,                0.74695,                0.83051,                0.66262,                 1.0573,                  1.193,                 1.1344,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.0838,                0.70721,                 1.0817,                0.78453,                0.74695,                0.83051,                0.66262,                 1.0573,                  1.193,                 1.1344,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.0315,                0.87152,                 1.1072,                0.83251,                0.76505,                0.80849,                0.64653,                 0.9659,                 1.0089,                 1.0834,              0.0089407,              0.0089407,              0.0089407
                    109,                 1.0873,                0.86522,                 1.1829,                0.83251,                0.76505,                0.80849,                0.64653,                 0.9659,                 1.0089,                 1.0834,              0.0089308,              0.0089308,              0.0089308
                    110,                0.93092,                0.67637,                 1.0441,                0.86029,                0.77655,                0.80017,                0.56115,                 1.1296,                 1.0595,                 1.2184,              0.0089209,              0.0089209,              0.0089209
                    111,                0.86202,                0.68752,                 1.0042,                0.86029,                0.77655,                0.80017,                0.56115,                 1.1296,                 1.0595,                 1.2184,               0.008911,               0.008911,               0.008911
                    112,                 1.1902,                 1.0947,                 1.1632,                0.70608,                0.73403,                0.79554,                0.54466,                 1.2505,                 1.5271,                 1.3055,              0.0089011,              0.0089011,              0.0089011
                    113,                0.97024,                0.81364,                  1.039,                0.70608,                0.73403,                0.79554,                0.54466,                 1.2505,                 1.5271,                 1.3055,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.0501,                0.68074,                 1.1489,                0.82252,                0.76582,                0.84122,                0.62856,                  1.085,                 1.2777,                 1.1345,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.0151,                0.82704,                 1.0943,                0.82252,                0.76582,                0.84122,                0.62856,                  1.085,                 1.2777,                 1.1345,              0.0088714,              0.0088714,              0.0088714
                    116,                  1.068,                0.74356,                 1.0849,                0.85487,                 0.7773,                 0.8314,                0.64098,                 1.0374,                 1.1257,                 1.0966,              0.0088615,              0.0088615,              0.0088615
                    117,                0.99314,                 0.7183,                 1.0847,                0.85487,                 0.7773,                 0.8314,                0.64098,                 1.0374,                 1.1257,                 1.0966,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.0532,                0.71447,                  1.063,                0.78323,                0.72394,                0.77531,                0.61685,                0.98316,                0.98577,                 1.0848,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.0369,                0.68336,                  1.035,                0.78323,                0.72394,                0.77531,                0.61685,                0.98316,                0.98577,                 1.0848,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.0596,                0.73852,                 1.0468,                0.90118,                0.61742,                0.76261,                0.61846,                0.96885,                 1.0427,                 1.0912,              0.0088219,              0.0088219,              0.0088219
                    121,                 1.1398,                0.80543,                 1.2124,                0.90118,                0.61742,                0.76261,                0.61846,                0.96885,                 1.0427,                 1.0912,               0.008812,               0.008812,               0.008812
                    122,                  1.047,                0.74161,                 1.0795,                0.91079,                 0.6309,                0.75249,                0.61749,                0.96357,                 1.1065,                  1.058,              0.0088021,              0.0088021,              0.0088021
                    123,                0.99118,                0.77533,                 1.0267,                0.91079,                 0.6309,                0.75249,                0.61749,                0.96357,                 1.1065,                  1.058,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.0186,                0.78294,                 1.0754,                0.70493,                0.76768,                0.79354,                0.61622,                0.98703,                 1.0017,                 1.0621,              0.0087823,              0.0087823,              0.0087823
                    125,                0.99722,                0.68063,                   1.06,                0.70493,                0.76768,                0.79354,                0.61622,                0.98703,                 1.0017,                 1.0621,              0.0087724,              0.0087724,              0.0087724
                    126,                0.98072,                0.72549,                 1.1321,                 0.8651,                0.75149,                 0.8058,                0.62352,                  1.015,                0.91966,                 1.0781,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.0939,                0.82806,                  1.146,                 0.8651,                0.75149,                 0.8058,                0.62352,                  1.015,                0.91966,                 1.0781,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.0972,                0.76047,                   1.08,                0.87522,                0.79855,                0.83855,                0.64688,                 1.0694,                0.92112,                 1.1145,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.0473,                0.76614,                 1.0717,                0.87522,                0.79855,                0.83855,                0.64688,                 1.0694,                0.92112,                 1.1145,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.0868,                0.81594,                 1.2376,                0.85374,                0.81846,                0.84008,                0.65374,                 1.0128,                0.80915,                 1.0962,              0.0087229,              0.0087229,              0.0087229
                    131,                0.94627,                0.68538,                 1.0307,                0.85374,                0.81846,                0.84008,                0.65374,                 1.0128,                0.80915,                 1.0962,               0.008713,               0.008713,               0.008713
                    132,                 1.0272,                0.73385,                 1.0707,                0.87881,                0.70825,                0.82599,                0.64327,                 1.0303,                0.99078,                 1.1049,              0.0087031,              0.0087031,              0.0087031
