                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.397,                 4.1544,                 1.6313,                      0,                      0,                      0,                      0,                 2.9977,                 4.5747,                 2.0437,                 0.0991,                 0.0001,                 0.0001
                      2,                 2.5671,                 4.2618,                 1.9053,                      0,                      0,                      0,                      0,                 2.9937,                  4.556,                 2.0152,               0.097297,             0.00029703,             0.00029703
                      3,                 2.2124,                 4.2335,                 1.6091,                      0,                      0,                      0,                      0,                 2.9857,                 4.5495,                 2.0026,                0.09549,              0.0004901,              0.0004901
                      4,                 2.4762,                 4.1316,                 1.7478,                      0,                      0,                      0,                      0,                 2.8791,                 4.5768,                 1.9802,               0.093679,             0.00067921,             0.00067921
                      5,                 2.7294,                 4.3011,                 1.8491,                0.00143,                0.33333,                0.00195,                0.00085,                 2.2947,                 4.3519,                 1.7589,               0.091864,             0.00086436,             0.00086436
                      6,                 2.0029,                 3.2835,                 1.5601,                0.00512,                0.73333,                0.19647,                0.13778,                 1.2704,                 3.5648,                 1.0297,               0.090046,              0.0010455,              0.0010455
                      7,                 1.4837,                 2.4887,                 1.2233,                 0.0081,                      1,                0.18458,                 0.1263,                 1.6262,                 3.5939,                 1.4959,               0.088223,              0.0012228,              0.0012228
                      8,                 1.7137,                 2.3952,                  1.406,                0.02581,                      1,                0.28633,                0.18895,                 1.3969,                 3.4754,                 1.4505,               0.086396,               0.001396,               0.001396
                      9,                 1.6903,                 2.6751,                 1.3777,                0.01705,                      1,                0.16102,                0.09101,                 1.6246,                 3.3989,                 1.5294,               0.084565,              0.0015654,              0.0015654
                     10,                 1.4748,                 2.2121,                 1.1538,                0.00973,                      1,                0.20038,                0.11799,                 1.5919,                 3.2181,                 1.5356,               0.082731,              0.0017307,              0.0017307
                     11,                 1.4853,                 2.0945,                 1.2288,                0.00949,                      1,                0.28107,                0.18886,                 1.3453,                 3.1552,                 1.3683,               0.080892,              0.0018921,              0.0018921
                     12,                 1.4724,                 2.0888,                 1.3007,                0.75721,                0.26667,                0.42842,                0.25356,                 1.4165,                 2.7891,                  1.414,                0.07905,              0.0020495,              0.0020495
                     13,                 1.3632,                 2.2067,                 1.2365,                0.00433,                    0.6,                0.09338,                0.03739,                 2.2212,                 3.5383,                  2.056,               0.077203,               0.002203,               0.002203
                     14,                 1.4724,                 2.1826,                 1.2462,                0.00091,                0.26667,                 0.0009,                0.00051,                 2.4837,                  4.803,                 3.4604,               0.075353,              0.0023525,              0.0023525
                     15,                 1.3009,                 1.9643,                 1.2122,                0.00178,                0.33333,                0.00158,                0.00044,                 2.7358,                 21.855,                 4.2539,               0.073498,              0.0024981,              0.0024981
                     16,                 1.3544,                   1.95,                 1.2559,                 0.0032,                0.53333,                0.00374,                0.00105,                 2.7036,                 37.633,                 4.4898,                0.07164,              0.0026396,              0.0026396
                     17,                 1.2806,                 1.8063,                 1.1771,                0.00116,                    0.2,                 0.0008,                0.00038,                 2.5055,                 13.614,                 3.2686,               0.069777,              0.0027773,              0.0027773
                     18,                 1.2941,                 1.7662,                 1.2231,                0.00116,                    0.2,                 0.0008,                0.00038,                 3.2811,                 295.14,                 7.8253,               0.067911,              0.0029109,              0.0029109
                     19,                 1.6104,                 1.8089,                 1.2744,                0.00116,                    0.2,                 0.0008,                0.00038,                 3.1781,                 374.42,                 7.1163,               0.066041,              0.0030407,              0.0030407
                     20,                  1.517,                  1.903,                  1.322,                0.00028,                0.06667,                0.00017,                0.00012,                 3.0531,                 127.76,                 5.6326,               0.064166,              0.0031664,              0.0031664
                     21,                 1.3593,                 1.6746,                 1.1609,                0.34305,                    0.4,                0.00893,                0.00253,                 3.1002,                 22.807,                 7.5488,               0.062288,              0.0032882,              0.0032882
                     22,                 1.3763,                 1.7086,                 1.2947,                0.01021,                0.46667,                 0.0119,                0.00386,                 3.0284,                 130.85,                 8.5475,               0.060406,               0.003406,               0.003406
                     23,                 1.3316,                 1.5822,                 1.2729,                0.01122,                    0.4,                0.00856,                  0.001,                 3.0111,                 493.01,                  9.697,                0.05852,              0.0035199,              0.0035199
                     24,                 1.3545,                 1.4654,                  1.152,                0.00081,                    0.2,                0.00199,                0.00046,                 2.8623,                 392.02,                 9.9717,                0.05663,              0.0036298,              0.0036298
                     25,                 1.3802,                 1.5054,                 1.1965,                0.33424,                0.26667,                0.00155,                0.00022,                 3.1925,                 545.05,                 15.894,               0.054736,              0.0037358,              0.0037358
                     26,                  1.168,                 1.4725,                 1.2168,                0.00071,                    0.2,                0.00077,                0.00021,                 3.1229,                    inf,                 14.932,               0.052838,              0.0038378,              0.0038378
                     27,                 1.2228,                 1.5076,                 1.1167,                0.00203,                0.13333,                0.00153,                 0.0005,                 2.9074,                    inf,                 8.8404,               0.050936,              0.0039358,              0.0039358
                     28,                 1.3286,                 1.4002,                 1.2643,                0.00203,                0.13333,                0.00153,                 0.0005,                 2.9074,                    inf,                 8.8404,                0.04903,              0.0040299,              0.0040299
                     29,                  1.297,                  1.404,                  1.224,                0.00103,                0.13333,                 0.0024,                0.00061,                 3.0751,                    inf,                 8.3796,                0.04712,                0.00412,                0.00412
                     30,                 1.2495,                 1.3559,                 1.2057,                0.00069,                    0.2,                0.00074,                 0.0003,                 3.1045,                    inf,                 6.9056,               0.045206,              0.0042061,              0.0042061
                     31,                 1.2151,                 1.3216,                 1.1854,                0.00069,                    0.2,                0.00074,                 0.0003,                 3.1045,                    inf,                 6.9056,               0.043288,              0.0042883,              0.0042883
                     32,                 1.3328,                 1.3667,                 1.1411,                0.00117,                0.13333,                0.00087,                0.00031,                 3.0359,                  559.2,                 5.5626,               0.041367,              0.0043665,              0.0043665
