                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.397,                 4.1544,                 1.6313,                      0,                      0,                      0,                      0,                 2.9977,                 4.5747,                 2.0437,                 0.0991,                 0.0001,                 0.0001
                      2,                 2.5671,                 4.2618,                 1.9053,                      0,                      0,                      0,                      0,                 2.9937,                  4.556,                 2.0152,                 0.0973,              0.0002997,              0.0002997
                      3,                 2.2124,                 4.2335,                 1.6091,                      0,                      0,                      0,                      0,                 2.9857,                 4.5495,                 2.0026,               0.095499,             0.00049901,             0.00049901
                      4,                 2.4762,                 4.1316,                 1.7478,                      0,                      0,                      0,                      0,                 2.8791,                 4.5768,                 1.9802,               0.093698,             0.00069792,             0.00069792
                      5,                 2.7294,                 4.3011,                 1.8491,                0.00145,                0.33333,                0.00202,                0.00083,                 2.3751,                 4.3665,                 1.8172,               0.091896,             0.00089644,             0.00089644
                      6,                 2.1103,                 3.2976,                 1.6806,                0.00734,                      1,                0.17382,                0.10379,                 1.0629,                 3.4555,                0.97848,               0.090095,              0.0010946,              0.0010946
                      7,                 1.4499,                 2.4851,                 1.2197,                0.00605,                    0.8,                0.14093,                0.07372,                 1.3954,                 3.7615,                 1.3325,               0.088292,              0.0012923,              0.0012923
                      8,                 1.4605,                 2.3506,                 1.2424,                0.00784,                      1,                0.18021,                0.12138,                 1.3953,                 3.2887,                 1.6573,                0.08649,              0.0014896,              0.0014896
                      9,                  1.849,                 2.7799,                 1.5432,                0.00735,                      1,                0.15363,                0.10944,                 1.6354,                 3.5397,                 1.8434,               0.084687,              0.0016865,              0.0016865
                     10,                 1.4724,                 2.1771,                 1.2101,                0.00665,                    0.6,                0.05428,                0.02269,                 1.9415,                 3.8242,                 1.8135,               0.082883,              0.0018831,              0.0018831
                     11,                  1.509,                 2.1276,                 1.2795,                0.00791,                0.33333,                0.02192,                0.01779,                 1.8181,                 7.7743,                 1.6134,               0.081079,              0.0020792,              0.0020792
                     12,                 1.4362,                 2.0189,                 1.2896,                0.02083,                0.06667,                0.01344,                0.01075,                 1.4797,                 21.844,                 1.4112,               0.079275,               0.002275,               0.002275
                     13,                 1.4196,                 2.0004,                 1.2425,                 0.0314,                    0.4,                0.10291,                0.06122,                 1.4298,                 19.337,                 1.4524,                0.07747,              0.0024703,              0.0024703
                     14,                 1.4063,                 1.9414,                 1.2458,                0.01515,                0.26667,                0.01334,                 0.0085,                 1.9306,                 20.289,                 1.9324,               0.075665,              0.0026653,              0.0026653
                     15,                 1.3656,                 1.7334,                 1.2882,                0.01515,                0.26667,                0.01334,                 0.0085,                 3.6361,                 35.635,                 4.6859,                0.07386,              0.0028598,              0.0028598
                     16,                 1.2775,                 1.7549,                 1.2487,                0.01515,                0.26667,                0.01334,                 0.0085,                 4.8072,                 137.23,                 11.992,               0.072054,               0.003054,               0.003054
                     17,                 1.2431,                 1.7342,                 1.2128,                 0.0008,                0.06667,                0.00026,                  3e-05,                  5.378,                 265.68,                  136.3,               0.070248,              0.0032477,              0.0032477
                     18,                 1.3408,                 1.6952,                 1.3381,                0.00016,                0.06667,                0.00014,                  1e-05,                 4.4256,                    inf,                  67.94,               0.068441,              0.0034411,              0.0034411
                     19,                 1.4388,                 1.7347,                 1.2048,                0.00016,                0.06667,                0.00014,                  1e-05,                 4.2104,                    inf,                 43.943,               0.066634,              0.0036341,              0.0036341
                     20,                 1.4651,                 1.7858,                 1.2941,                0.00016,                0.06667,                0.00014,                  1e-05,                    nan,                    nan,                    nan,               0.064827,              0.0038266,              0.0038266
                     21,                  1.377,                 1.6409,                 1.2144,                0.00016,                0.06667,                0.00014,                  1e-05,                    nan,                    nan,                    nan,               0.063019,              0.0040188,              0.0040188
                     22,                 1.4623,                   1.61,                 1.4235,                0.00016,                0.06667,                0.00014,                  1e-05,                    nan,                    nan,                    nan,               0.061211,              0.0042106,              0.0042106
                     23,                 1.3853,                 1.6206,                 1.3392,                0.00018,                0.06667,                0.00124,                0.00049,                    nan,                    nan,                    nan,               0.059402,               0.004402,               0.004402
                     24,                 1.2827,                  1.349,                 1.1349,                0.00018,                0.06667,                0.00124,                0.00049,                    nan,                    nan,                    nan,               0.057593,               0.004593,               0.004593
                     25,                 1.4335,                 1.4778,                 1.2246,                0.00018,                0.06667,                0.00124,                0.00049,                    nan,                    nan,                    nan,               0.055784,              0.0047836,              0.0047836
                     26,                 1.1877,                 1.4053,                 1.2034,                0.00018,                0.06667,                0.00124,                0.00049,                    nan,                    nan,                    nan,               0.053974,              0.0049738,              0.0049738
                     27,                 1.4585,                 1.4399,                 1.2126,                0.00018,                0.06667,                0.00124,                0.00049,                  4.453,                    inf,                 180.34,               0.052164,              0.0051636,              0.0051636
                     28,                 1.3933,                 1.5359,                 1.2911,                0.00018,                0.06667,                0.00124,                0.00049,                  4.453,                    inf,                 180.34,               0.050353,               0.005353,               0.005353
                     29,                 1.4307,                 1.6316,                 1.3358,                0.00073,                0.06667,                0.00049,                 0.0001,                 4.3588,                    inf,                 123.43,               0.048542,               0.005542,               0.005542
                     30,                 1.2319,                 1.5151,                 1.2206,                0.00073,                0.06667,                0.00049,                 0.0001,                 3.6984,                    inf,                 61.869,               0.046731,              0.0057306,              0.0057306
                     31,                 1.2249,                 1.4064,                 1.2134,                0.00073,                0.06667,                0.00049,                 0.0001,                 3.6984,                    inf,                 61.869,               0.044919,              0.0059188,              0.0059188
                     32,                 1.3241,                 1.4483,                 1.1702,                0.35449,                0.26667,                0.21289,                0.02262,                 3.1718,                 277.74,                 25.033,               0.043107,              0.0061067,              0.0061067
                     33,                 1.2042,                 1.2513,                 1.1742,                0.66557,                    0.4,                 0.3035,                0.12966,                 2.2139,                 21.688,                 8.4208,               0.041294,              0.0062941,              0.0062941
                     34,                  1.254,                 1.4479,                 1.1105,                0.66557,                    0.4,                 0.3035,                0.12966,                 2.2139,                 21.688,                 8.4208,               0.039481,              0.0064811,              0.0064811
