                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1376,                 1.1929,                 1.0224,                0.00019,                0.05556,                0.00012,                  2e-05,                 3.1293,                 4593.6,                 7.0618,               0.035577,              0.0045775,              0.0045775
                     36,                 1.1602,                 1.1366,                 1.0033,                0.00019,                0.05556,                0.00013,                  7e-05,                 3.6526,                   7905,                  15.68,                0.03364,              0.0046399,              0.0046399
                     37,                 1.1295,                 1.0438,                0.97671,                0.00019,                0.05556,                0.00013,                  7e-05,                 3.6526,                   7905,                  15.68,               0.031698,              0.0046983,              0.0046983
                     38,                 1.3629,                 1.2728,                 1.2083,                0.00019,                0.05556,                0.00013,                  7e-05,                 3.6061,                 8590.3,                 19.598,               0.029753,              0.0047528,              0.0047528
                     39,                 1.0675,                 1.0098,                0.99634,                0.00019,                0.05556,                0.00013,                  7e-05,                 3.6431,                   9049,                 25.074,               0.027803,              0.0048033,              0.0048033
                     40,                 1.2853,                 1.2512,                 1.0351,                0.00019,                0.05556,                0.00013,                  7e-05,                 3.6431,                   9049,                 25.074,                0.02585,              0.0048498,              0.0048498
                     41,                 1.1698,                 1.0884,                0.97048,                0.00019,                0.05556,                0.00013,                  7e-05,                 2.7867,                 7870.2,                 15.686,               0.023892,              0.0048924,              0.0048924
                     42,                 1.1371,                 1.0976,                0.98271,                0.00019,                0.05556,                0.00013,                  7e-05,                 3.6048,                 3904.3,                 21.067,               0.021931,               0.004931,               0.004931
                     43,                 1.2632,                 1.1036,                 1.0618,                0.00019,                0.05556,                0.00013,                  7e-05,                 3.6048,                 3904.3,                 21.067,               0.019966,              0.0049657,              0.0049657
                     44,                 1.1515,                0.93866,                0.98415,                0.00742,                0.27778,                0.01209,                 0.0072,                 3.2206,                 338.32,                  8.587,               0.017996,              0.0049964,              0.0049964
                     45,                 1.2418,                 1.0867,                 1.0359,                0.00742,                0.27778,                0.01209,                 0.0072,                 3.2206,                 338.32,                  8.587,               0.016023,              0.0050232,              0.0050232
                     46,                  1.073,                0.92627,                0.98609,                0.00093,                0.27778,                0.00173,                0.00088,                 3.0041,                  755.2,                 5.2663,               0.014046,               0.005046,               0.005046
                     47,                 1.1301,                  0.938,                 1.0166,                0.00093,                0.27778,                0.00173,                0.00088,                 3.0041,                  755.2,                 5.2663,               0.012065,              0.0050648,              0.0050648
                     48,                 1.1116,                 1.0667,                 1.0696,                0.00093,                0.27778,                0.00106,                0.00058,                 2.6273,                 946.14,                 4.6653,                0.01008,              0.0050797,              0.0050797
